company_id,region,sector,num_employees,annual_revenue,avg_employee_salary,expenses_total,customer_growth_rate,customer_retention_rate,digital_spending_ratio,years_in_operation,profit_to_expense_ratio,tech_adoption_level,remote_work_policy,has_pitch_deck,cash_flow_score,credit_score,registered_business,prior_investment,traction_score,female_owned,bookkeeping_quality,tax_compliance_status,regulatory_license_status,data_protection_score,employee_contracts_verified,AML_risk_flag,financial_transparency_score,compliance_risk_level,funding_stage,revenue_growth_rate
40,Rural,Finance,475,47376,5330.33,23549.54,0.232,0.431,0.149,4,0.121,Medium,None,0,0.434,0.524,1,None,0.279,0,0.315,Compliant,Valid,0.181,1,0,0.381,High,Seed,0.5559
41,Rural,Tech,59,159804,2101.77,72083.47,0.428,0.275,0.506,6,0.247,High,None,0,0.47,0.428,1,Angels,0.424,1,0.267,Not Registered,Expired,0.751,0,0,0.275,Moderate,Series B,0.4057
42,Urban,Finance,170,10527,1714.19,5620.12,-0.145,0.709,0.04,5,0.259,Medium,None,1,0.503,0.244,0,None,0.036,1,0.41,Late Filing,Missing,0.345,1,0,0.192,Critical,Angel,0.1543
43,Rural,Finance,476,74205,376.64,48436.78,0.131,0.773,0.27,27,0.306,Low,None,0,0.548,0.53,1,Angels,0.222,0,0.555,Compliant,Valid,0.06,1,0,0.49,Moderate,Series A,0.4615
44,Urban,Manufacturing,188,17892,3931.65,16080.36,0.061,0.407,0.119,11,0.278,Low,Partial,1,0.389,0.409,0,None,0.167,0,0.199,Not Registered,Valid,0.077,1,0,0.0,Critical,Seed,0.2276
45,Urban,Finance,464,30989,3600.57,27258.24,0.531,0.524,0.47,10,0.118,Medium,Partial,0,0.45,0.397,1,Angels,0.463,0,0.568,Compliant,Valid,0.353,0,0,0.405,Moderate,Series A,0.7122
46,Urban,Agriculture,271,39606,2100.78,31495.88,-0.051,0.113,0.486,24,0.419,Medium,None,1,0.566,0.248,1,VC,0.101,0,0.562,Compliant,Valid,0.346,0,0,0.413,High,Seed,0.4728
47,Urban,Education,190,6001,713.12,2479.98,0.055,0.151,0.063,13,0.389,High,Partial,0,0.563,0.6,1,Angels,0.161,0,0.328,Compliant,Valid,0.17,1,0,0.315,High,Debt Financing,0.2126
48,Urban,Tech,446,14263,3605.27,8383.28,0.519,0.467,0.26,11,0.288,Low,None,0,0.399,0.634,1,Gov Grant,0.452,0,0.834,Compliant,Valid,0.14,1,0,0.393,Moderate,Seed,0.5744
49,Urban,Healthcare,175,183742,6369.18,142453.64,0.065,0.353,0.072,28,0.216,Medium,None,1,0.383,0.567,0,Gov Grant,0.202,0,0.584,Compliant,Missing,0.235,1,0,0.025,High,Seed,0.2041
50,Rural,Retail,446,105180,5807.67,49536.19,0.225,0.343,0.093,26,0.284,Low,None,1,0.491,0.154,1,Angels,0.287,0,0.737,Compliant,Valid,0.381,1,0,0.412,Moderate,Series A,0.5149
51,Rural,Education,51,33686,6928.12,28316.39,-0.174,0.306,0.011,8,0.262,High,Partial,1,0.545,0.809,1,None,0.023,0,0.485,Compliant,Expired,0.156,1,1,0.415,Moderate,Series B,0.116
52,Urban,Education,364,48618,373.79,43902.81,0.588,0.36,0.432,23,0.211,Low,None,1,0.463,0.545,1,None,0.502,0,0.655,Compliant,Missing,0.0,0,0,0.526,Moderate,Series A,0.6869
53,Rural,Agriculture,55,25512,7741.43,15173.45,0.46,0.455,0.096,21,0.267,Low,Partial,0,0.449,0.395,0,None,0.418,0,0.289,Not Registered,Valid,0.0,0,0,0.01,Critical,Series A,0.1942
54,Urban,Finance,244,184961,2928.87,145788.79,0.308,0.656,0.198,11,0.092,Medium,Partial,0,0.408,0.579,1,Gov Grant,0.354,0,0.57,Compliant,Expired,0.131,1,0,0.266,Moderate,Series A,0.4071
55,Urban,Manufacturing,320,28555,7926.06,13749.58,-0.151,0.351,0.011,25,0.355,Medium,Full,0,0.569,0.765,0,None,0.036,0,0.347,Not Registered,Expired,0.003,1,0,0.449,High,Angel,0.197
56,Urban,Agriculture,131,47964,2245.17,37409.48,-0.14,0.274,0.141,10,0.359,Low,Full,0,0.615,0.545,1,None,0.047,0,0.506,Compliant,Valid,0.008,0,0,0.372,High,Debt Financing,0.134
57,Rural,Retail,485,143665,3930.83,59161.32,0.236,0.325,0.528,3,0.382,Medium,Partial,0,0.546,0.565,1,None,0.301,0,0.355,Compliant,Valid,0.296,1,0,0.214,High,Seed,0.6741
58,Urban,Manufacturing,307,14288,3025.24,6900.02,0.028,0.593,0.479,6,0.518,Low,None,0,0.615,0.751,1,Angels,0.145,0,0.57,Compliant,Valid,0.146,1,0,0.381,Moderate,Series B,0.4624
59,Rural,Retail,135,235755,3039.36,186348.96,0.298,0.677,0.076,24,0.067,Medium,None,1,0.35,0.559,1,None,0.358,0,0.558,Compliant,Valid,0.053,1,0,0.305,High,Series B,0.1954
60,Urban,Retail,21,5787,6785.57,4580.51,0.279,0.556,0.302,19,0.224,High,None,0,0.511,0.396,1,Gov Grant,0.301,0,0.189,Not Registered,Valid,0.377,0,1,0.23,Critical,Series B,0.161
61,Urban,Healthcare,329,256676,6047.43,193184.49,0.471,0.341,0.104,3,0.263,Low,None,1,0.557,0.788,1,None,0.471,0,0.833,Compliant,Valid,0.0,0,0,0.522,Moderate,Series B,0.5296
62,Urban,Education,167,23220,7939.57,15384.42,0.025,0.287,0.068,15,0.568,High,None,0,0.512,0.619,1,None,0.145,0,0.697,Compliant,Valid,0.339,1,1,0.614,Moderate,Series A,0.1732
63,Urban,Tech,274,27140,5024.06,20930.35,0.262,0.454,0.554,27,0.48,Medium,None,0,0.564,0.711,0,None,0.294,1,0.278,Not Registered,Valid,0.49,0,0,0.455,Moderate,Series A,0.526
64,Urban,Retail,388,3759,3867.08,3103.39,0.422,0.222,0.216,0,0.64,Medium,None,0,0.72,0.363,1,None,0.389,1,0.714,Compliant,Valid,0.455,1,1,0.482,Moderate,Series A,0.6323
65,Urban,Manufacturing,89,21041,993.57,19601.06,0.193,0.6,0.122,4,0.18,High,None,1,0.475,0.379,1,Gov Grant,0.25,0,0.528,Compliant,Valid,0.375,0,0,0.299,Moderate,Series B,0.1859
66,Urban,Education,316,10428,7973.52,9267.91,0.465,0.133,0.209,3,0.443,High,Partial,1,0.664,0.64,0,None,0.418,0,0.396,Late Filing,Valid,0.532,0,0,0.198,High,Series B,0.4149
67,Urban,Healthcare,14,17515,4546.79,14659.95,-0.095,0.478,0.312,28,0.176,High,None,0,0.435,0.797,1,None,0.069,0,0.605,Compliant,Expired,0.488,1,0,0.369,Moderate,Seed,0.0145
68,Rural,Finance,242,30799,5693.68,24088.41,0.387,0.205,0.194,18,0.494,Low,None,0,0.615,0.429,1,None,0.373,1,0.53,Compliant,Valid,0.104,1,0,0.273,High,Series B,0.4557
69,Urban,Education,265,114617,3431.92,82041.19,0.554,0.532,0.082,1,0.104,Low,None,0,0.363,0.386,1,Gov Grant,0.494,0,0.17,Not Registered,Expired,0.0,0,0,0.0,High,Series A,0.4702
70,Urban,Finance,346,46589,4517.41,21726.07,0.066,0.411,0.156,15,0.231,Medium,Full,1,0.436,0.536,1,None,0.176,1,0.798,Compliant,Valid,0.431,1,0,0.543,Moderate,Series A,0.4074
71,Rural,Education,53,52534,7557.85,25797.15,0.093,0.326,0.168,24,0.438,Low,None,0,0.652,0.296,1,None,0.194,0,0.589,Compliant,Valid,0.08,0,0,0.492,Moderate,Seed,0.2158
72,Rural,Finance,386,9753,1581.43,8301.3,-0.133,0.043,0.324,7,0.293,Low,None,1,0.415,0.698,1,None,0.044,0,0.561,Compliant,Valid,0.058,0,0,0.602,Moderate,Series A,0.4097
73,Rural,Finance,340,12621,2551.27,10624.64,0.313,0.71,0.209,24,0.599,Low,None,0,0.69,0.686,1,None,0.323,1,0.686,Compliant,Valid,0.286,1,0,0.622,Moderate,Series B,0.4555
74,Rural,Retail,92,314415,1470.86,232023.31,0.242,0.589,0.327,1,0.151,Medium,Partial,1,0.464,0.586,1,Gov Grant,0.339,0,0.782,Compliant,Valid,0.31,1,0,0.566,Moderate,Series B,0.3284
75,Urban,Manufacturing,367,15029,6400.06,9639.03,-0.168,0.341,0.523,8,0.541,Low,None,0,0.688,0.579,1,None,0.023,0,0.538,Late Filing,Valid,0.013,0,0,0.77,High,Series A,0.4007
76,Urban,Tech,444,264991,777.75,109790.53,0.402,0.435,0.251,0,0.249,Low,None,0,0.483,0.478,0,VC,0.429,0,0.65,Compliant,Expired,0.084,0,0,0.522,High,Series A,0.4673
77,Urban,Finance,455,27128,928.56,15732.81,0.463,0.399,0.096,18,0.24,Low,Partial,0,0.544,0.563,1,None,0.42,1,0.494,Compliant,Valid,0.138,0,0,0.566,Moderate,Series B,0.527
78,Urban,Agriculture,428,36415,2598.4,22990.68,0.526,0.429,0.406,29,0.12,High,Partial,0,0.428,0.592,1,None,0.461,1,0.589,Compliant,Valid,0.372,1,1,0.38,High,Series A,0.6596
79,Urban,Healthcare,264,131195,4259.25,87533.17,0.237,0.486,0.34,9,0.114,High,None,0,0.376,0.661,1,Angels,0.299,0,0.262,Compliant,Expired,0.279,1,0,0.171,High,Debt Financing,0.3653
80,Urban,Agriculture,431,167087,3428.32,152237.73,0.162,0.591,0.134,28,0.341,High,None,0,0.502,0.341,1,VC,0.26,0,0.729,Compliant,Valid,0.283,0,0,0.405,Moderate,Seed,0.5917
81,Rural,Retail,35,31794,645.09,14618.57,0.501,0.461,0.43,17,0.271,Low,None,0,0.463,0.499,1,Angels,0.444,0,0.201,Not Registered,Valid,0.289,1,0,0.037,Critical,Series A,0.391
82,Urban,Healthcare,206,22791,7672.68,15620.42,0.119,0.565,0.172,13,0.525,Low,Partial,1,0.66,0.35,0,Gov Grant,0.204,1,0.558,Compliant,Missing,0.0,1,0,0.517,High,Seed,0.3498
83,Urban,Education,81,33959,7637.1,20455.45,0.324,0.312,0.263,6,0.234,Medium,Full,0,0.286,0.589,1,Gov Grant,0.334,0,0.327,Compliant,Valid,0.307,1,0,0.118,Moderate,Seed,0.2509
84,Urban,Retail,420,54478,2451.04,51457.41,0.292,0.304,0.232,18,0.292,Low,Full,1,0.428,0.34,1,None,0.318,1,0.527,Compliant,Valid,0.226,1,0,0.323,High,Seed,0.5403
85,Urban,Tech,50,105827,5932.75,92495.47,0.098,0.159,0.152,11,0.311,High,None,0,0.455,0.38,1,None,0.207,0,0.295,Not Registered,Valid,0.176,0,0,0.114,High,Seed,0.0997
86,Rural,Education,360,36500,4755.03,23408.63,-0.13,0.246,0.512,7,0.663,Low,None,0,0.741,0.556,1,None,0.051,0,0.909,Compliant,Valid,0.178,1,0,0.672,Moderate,Series A,0.4444
87,Urban,Agriculture,388,76318,2128.57,72489.32,-0.183,0.265,0.219,14,0.161,Medium,None,0,0.476,0.63,1,Angels,0.026,0,0.373,Late Filing,Valid,0.234,1,0,0.428,High,Seed,0.273
88,Urban,Manufacturing,2,259375,2318.72,177084.34,0.143,0.214,0.12,22,0.315,Low,Partial,0,0.574,0.653,1,Gov Grant,0.266,1,0.708,Compliant,Valid,0.082,0,0,0.593,Moderate,Series B,0.1712
89,Urban,Tech,390,57387,4081.88,28229.51,0.185,0.079,0.111,14,0.262,Low,None,0,0.554,0.301,1,Angels,0.252,0,0.603,Compliant,Expired,0.166,1,0,0.558,Moderate,Seed,0.4914
90,Urban,Education,54,52785,3528.12,37252.02,0.458,0.17,0.129,22,0.439,High,Partial,0,0.609,0.463,1,None,0.422,0,0.954,Compliant,Valid,0.323,1,0,0.467,Moderate,Series A,0.3266
91,Urban,Finance,106,5868,2542.47,3077.26,0.132,0.626,0.207,7,0.313,Medium,None,1,0.556,0.549,1,VC,0.209,1,0.498,Compliant,Valid,0.228,1,1,0.417,Moderate,Series A,0.2664
92,Rural,Healthcare,260,1546,6517.84,1159.46,0.025,0.36,0.16,23,0.098,Low,Partial,0,0.273,0.53,1,Angels,0.141,1,0.581,Compliant,Valid,0.0,0,0,0.256,High,Series A,0.3211
93,Urban,Manufacturing,310,57876,4007.26,52990.81,0.17,0.123,0.434,19,0.485,Medium,None,0,0.536,0.629,1,None,0.243,0,0.745,Compliant,Valid,0.418,1,0,0.84,Moderate,Seed,0.5446
94,Rural,Healthcare,477,32410,5342.33,26978.38,-0.01,0.479,0.272,2,0.214,High,Partial,1,0.461,0.56,1,Gov Grant,0.125,0,0.217,Not Registered,Valid,0.423,1,0,0.406,High,Seed,0.4338
95,Urban,Healthcare,191,19580,1757.41,10773.7,-0.127,0.604,0.103,10,0.053,High,None,0,0.244,0.312,1,Angels,0.05,0,0.664,Compliant,Valid,0.124,0,0,0.289,High,Series A,0.1641
96,Urban,Agriculture,402,48642,4408.01,27398.69,-0.11,0.649,0.657,26,0.364,Low,Full,0,0.515,0.674,1,None,0.066,0,0.285,Compliant,Valid,0.318,1,0,0.138,High,Series A,0.5785
97,Urban,Finance,218,33776,2748.42,14797.55,0.055,0.482,0.261,21,0.296,Medium,None,1,0.348,0.431,1,Angels,0.166,1,0.188,Not Registered,Missing,0.172,1,0,0.217,High,Series B,0.3453
98,Urban,Retail,44,140552,4353.38,78319.41,-0.19,0.258,0.415,26,0.045,Medium,None,0,0.258,0.538,1,VC,0.034,0,0.438,Compliant,Valid,0.289,0,0,0.238,High,Series A,0.1183
99,Urban,Education,162,40269,6312.36,18159.05,-0.024,0.421,0.662,12,0.167,Low,Partial,1,0.471,0.787,1,None,0.118,0,0.739,Compliant,Valid,0.379,1,0,0.52,Moderate,Series A,0.391
100,Urban,Healthcare,202,14819,6220.63,9998.33,0.43,0.276,0.335,1,0.461,Low,None,1,0.596,0.671,1,Angels,0.397,1,0.623,Compliant,Valid,0.0,1,0,0.42,Moderate,Seed,0.4126
101,Rural,Healthcare,446,119157,3027.5,94085.28,-0.012,0.171,0.03,14,0.048,Low,None,0,0.288,0.369,0,None,0.141,0,0.391,Late Filing,Valid,0.05,1,0,0.39,High,Seed,0.2379
102,Rural,Tech,484,27986,5645.93,22756.81,-0.111,0.747,0.113,29,0.14,Low,Full,0,0.477,0.655,1,Gov Grant,0.061,0,0.36,Compliant,Valid,0.081,1,0,0.187,High,Seed,0.3866
103,Urban,Manufacturing,270,68312,7547.93,29561.41,0.559,0.812,0.592,3,0.531,Medium,Partial,0,0.668,0.879,1,Angels,0.488,0,0.343,Not Registered,Valid,0.471,1,0,0.597,High,Series B,0.5328
104,Urban,Retail,351,20478,5117.65,12020.09,0.298,0.747,0.376,1,0.503,Medium,None,0,0.606,0.578,1,None,0.315,1,0.65,Compliant,Valid,0.341,1,0,0.406,Moderate,Debt Financing,0.5838
105,Urban,Retail,304,16651,1442.76,9299.49,-0.152,0.264,0.126,2,0.4,High,None,0,0.491,0.682,0,None,0.033,1,0.734,Compliant,Valid,0.363,1,0,0.683,Moderate,Seed,0.3926
106,Rural,Tech,271,40175,5533.76,18374.65,-0.15,0.231,0.139,1,0.582,Low,None,0,0.746,0.247,1,None,0.039,1,0.732,Compliant,Valid,0.0,1,0,0.571,Moderate,Seed,0.3441
107,Urban,Tech,456,36879,1107.76,22103.77,0.29,0.715,0.198,20,0.563,Low,Full,0,0.532,0.3,1,Angels,0.314,1,0.725,Compliant,Valid,0.157,1,0,0.432,Moderate,Seed,0.6339
108,Urban,Education,462,64589,7015.25,36468.63,0.232,0.873,0.21,22,0.523,Low,None,0,0.607,0.441,1,Gov Grant,0.283,0,0.752,Compliant,Valid,0.085,0,0,0.597,Moderate,Series A,0.5194
109,Urban,Healthcare,215,26308,4278.29,19704.02,-0.145,0.458,0.109,14,0.178,Low,Partial,0,0.469,0.423,1,None,0.04,0,0.717,Compliant,Missing,0.104,1,0,0.465,Moderate,Series A,0.1865
110,Urban,Tech,252,4009,3265.58,3551.24,-0.021,0.82,0.174,7,0.148,High,Partial,1,0.482,0.455,0,VC,0.113,0,0.903,Compliant,Missing,0.301,1,0,0.263,High,Series A,0.2469
111,Rural,Agriculture,190,21605,738.95,14046.77,0.543,0.659,0.248,21,0.073,Low,None,0,0.331,0.594,1,Gov Grant,0.469,0,0.16,Not Registered,Valid,0.13,1,0,0.0,Critical,Series A,0.364
112,Urban,Agriculture,296,94144,3232.03,76319.33,0.258,0.396,0.282,10,0.803,Low,None,0,0.701,0.371,1,Angels,0.305,1,0.451,Late Filing,Valid,0.235,1,0,0.345,High,Seed,0.547
113,Urban,Finance,213,25416,7254.69,12207.45,0.152,0.235,0.093,24,0.438,Low,None,0,0.521,0.855,1,None,0.225,0,0.407,Compliant,Valid,0.276,0,0,0.568,Moderate,Series B,0.2619
114,Urban,Education,208,27020,461.57,24108.1,0.0,0.366,0.601,6,0.148,Medium,None,0,0.438,0.487,1,None,0.13,0,1.0,Compliant,Valid,0.334,1,0,0.54,Moderate,Seed,0.4158
115,Rural,Retail,237,118617,3954.79,57401.98,-0.093,0.428,0.3,21,0.284,High,None,0,0.463,0.628,1,None,0.091,0,0.542,Compliant,Valid,0.397,1,0,0.256,Moderate,Series A,0.2525
116,Urban,Retail,338,15454,7469.92,7814.4,0.122,0.559,0.057,4,0.506,Medium,Partial,1,0.673,0.208,1,None,0.204,0,0.299,Not Registered,Valid,0.0,0,0,0.229,High,Seed,0.3532
117,Urban,Retail,367,5702,3340.28,2614.68,0.538,0.273,0.163,25,0.095,Medium,None,1,0.227,0.332,1,None,0.462,0,0.575,Compliant,Valid,0.376,0,0,0.414,High,Series A,0.476
118,Urban,Agriculture,53,29949,3596.95,17080.63,-0.161,0.679,0.351,9,0.422,Medium,Partial,0,0.479,0.242,1,None,0.03,0,0.409,Compliant,Valid,0.247,1,0,0.461,High,Seed,0.1249
119,Urban,Education,280,20312,4754.91,14296.11,0.593,0.082,0.036,15,0.132,Medium,Partial,0,0.461,0.397,1,None,0.5,1,0.448,Compliant,Valid,0.325,1,0,0.16,Critical,Series A,0.455
120,Urban,Tech,410,11390,3864.62,10745.29,-0.034,0.414,0.052,0,0.414,Medium,None,0,0.493,0.654,1,None,0.106,0,0.55,Compliant,Valid,0.0,0,1,0.516,Moderate,Seed,0.4606
121,Urban,Education,217,29423,1598.23,24608.0,0.127,0.204,0.211,0,0.131,High,Full,0,0.361,0.264,1,Gov Grant,0.21,0,0.881,Compliant,Expired,0.635,1,0,0.551,Moderate,Seed,0.2656
122,Urban,Finance,252,65500,442.88,39905.2,-0.164,0.22,0.617,2,0.212,Medium,Partial,0,0.344,0.489,1,Angels,0.036,0,0.75,Compliant,Valid,0.204,0,0,0.606,Moderate,Seed,0.427
123,Urban,Finance,188,35913,4995.55,25739.4,0.268,0.434,0.54,3,0.026,High,None,0,0.413,0.629,1,None,0.3,0,0.239,Compliant,Valid,0.461,1,0,0.159,High,Series B,0.4684
124,Urban,Manufacturing,380,52490,7390.21,38990.59,0.187,0.202,0.452,15,0.172,Low,Partial,1,0.329,0.64,1,Angels,0.252,1,0.251,Compliant,Valid,0.15,1,0,0.053,High,Debt Financing,0.5318
